                 , Pokedex, Living, Shiny, 100%, Lucky, XXL, XXS, Mega, Dynamax, Gigantamax, Shadow, Purified,  ,   ,     , 
38 Ninetales     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
39 Jigglypuff    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
40 Wigglytuff    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
41 Zubat         ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
42 Golbat        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
43 Oddish        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
44 Gloom         ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
45 Vileplume     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
46 Paras         ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
47 Parasect      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
48 Venonat       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
49 Venomoth      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
50 Diglett       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
51 Dugtrio       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
52 Meowth        ,        ,       ,      ,     ,      ,    ,    , -   , -      ,           ,       ,         , -, 10,     ,   
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
53 Persian       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,
54 Psyduck       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
55 Golduck       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
56 Mankey        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
57 Primeape      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
58 Growlithe     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
Hisuian          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
59 Arcanine      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
Hisuian          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
60 Poliwag       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
61 Poliwhirl     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
62 Poliwrath     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
63 Abra          ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
64 Kadabra       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
65 Alakazam      ,        ,       ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 11,     ,   
66 Machop        ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
67 Machoke       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
68 Machamp       ,        ,       ,      ,     ,      ,    ,    , -   ,        ,           ,       ,         , -, 11,     ,   
69 Bellsprout    ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
70 Weepinbell    ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
71 Victreebel    ,        ,       ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 11,     ,   
72 Tentacool     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
73 Tentacruel    ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
74 Geodude       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
75 Graveler      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
76 Golem         ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
77 Ponyta        ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
78 Rapidash      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
79 Slowpoke      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
80 Slowbro       ,        ,       ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 11,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
81 Magnemite     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
82 Magneton      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
83 Farfetch’d    ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     ,         , -,  9,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
84 Doduo         ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     ,         , -,  9,     ,   
85 Dodrio        ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     ,         , -,  9,     ,   
86 Seel          ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
87 Dewgong       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
88 Grimer        ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,
89 Muk           ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   ,        , -         , -     , -       , -,  4,     ,
90 Shellder      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
91 Cloyster      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
92 Gastly        ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
93 Haunter       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
94 Gengar        ,        ,       ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         , -, 12,     ,   
95 Onix          ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
96 Drowzee       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
97 Hypno         ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
98 Krabby        ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
99 Kingler       ,        ,       ,      ,     ,      ,    ,    , -   ,        ,           ,       ,         , -, 11,     ,   
100 Voltorb      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Hisuian          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
101 Electrode    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Hisuian          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
102 Exeggcute    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
103 Exeggutor    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
104 Cubone       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
105 Marowak      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
106 Hitmonlee    ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
107 Hitmonchan   ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
108 Lickitung    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
109 Koffing      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
110 Weezing      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
111 Rhyhorn      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
112 Rhydon       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
113 Chansey      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
114 Tangela      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
115 Kangaskhan   ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -,  9,     ,   
116 Horsea       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
117 Seadra       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
118 Goldeen      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
119 Seaking      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
120 Staryu       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
121 Starmie      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
122 Mr. Mime     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
123 Scyther      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
124 Jynx         ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
125 Electabuzz   ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
126 Magmar       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
127 Pinsir       ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
128 Tauros       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Paldean(Combat)  ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,
Paldean(Aqua)    ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,
Paldean(Blaze)   ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,
129 Magikarp     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
130 Gyarados     ,        ,       ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 11,     ,   
131 Lapras       ,        ,       ,      ,     ,      ,    ,    , -   , -      ,           ,       ,         , -, 10,     ,   
132 Ditto        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
133 Eevee        ,        ,       ,      ,     ,      ,    ,    , -   ,        ,           , -     , -       , -,  9,     ,   
134 Vaporeon     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
135 Jolteon      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
136 Flareon      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
137 Porygon      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
138 Omanyte      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
139 Omastar      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
140 Kabuto       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       , -       , -,  8,     ,   
141 Kabutops     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       , -       , -,  8,     ,   
142 Aerodactyl   ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
143 Snorlax      ,        ,       ,      ,     ,      ,    ,    , -   , -      ,           ,       ,         , -, 10,     ,   
144 Articuno     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
145 Zapdos       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
146 Moltres      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
147 Dratini      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
148 Dragonair    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
149 Dragonite    ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
150 Mewtwo       ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -,  9,     ,   
Armored          ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
151 Mew          ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
JOHTO            ,        ,       ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  , 99,     ,   
152 Chikorita    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
153 Bayleef      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
154 Meganium     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
155 Cyndaquil    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
156 Quilava      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
157 Typhlosion   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Hisuian          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
158 Totodile     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
159 Croconaw     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
160 Feraligatr   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
161 Sentret      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
162 Furret       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
163 Hoothoot     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
164 Noctowl      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
165 Ledyba       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
166 Ledian       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
167 Spinarak     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
168 Ariados      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
169 Crobat       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
170 Chinchou     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
171 Lanturn      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
172 Pichu        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
173 Cleffa       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
174 Igglybuff    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
175 Togepi       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
176 Togetic      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
177 Natu         ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
178 Xatu         ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
179 Mareep       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
180 Flaaffy      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
181 Ampharos     ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
182 Bellossom    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
183 Marill       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
184 Azumarill    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
185 Sudowoodo    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
186 Politoed     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
187 Hoppip       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
188 Skiploom     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
189 Jumpluff     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
190 Aipom        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
191 Sunkern      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
192 Sunflora     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
193 Yanma        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
194 Wooper       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Paldean          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
195 Quagsire     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
196 Espeon       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
197 Umbreon      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
198 Murkrow      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
199 Slowking     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Galarian         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
200 Misdreavus   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
201 Unown        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
A                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
B                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
C                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
D                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
E                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
F                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
G                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
H                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
I                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
J                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
K                ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
