Pokemon          , Pokedex,     , Living,     , Shiny, 100%, Lucky, XXL, XXS, Mega, Dynamax, Gigantamax, Shadow, Purified,  ,   ,     , 
16 Pidgey        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
17 Pidgeotto     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
18 Pidgeot       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
19 Rattata       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
20 Raticate      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
21 Spearow       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
22 Fearow        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
23 Ekans         ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
24 Arbok         ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
25 Pikachu       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        ,           , -     , -       , -, 11,     ,   
26 Raichu        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -, 10,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
27 Sandshrew     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
28 Sandslash     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
29 Nidoran (F)   ,        , -   ,       , -   ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
30 Nidorina      ,        , -   ,       , -   ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
31 Nidoqueen     ,        , -   ,       , -   ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
32 Nidoran (M)   , -      ,     , -     ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
33 Nidorino      , -      ,     , -     ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
34 Nidoking      , -      ,     , -     ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
35 Clefairy      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
36 Clefable      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
37 Vulpix        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
38 Ninetales     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
39 Jigglypuff    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
40 Wigglytuff    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
41 Zubat         ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
42 Golbat        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
43 Oddish        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
44 Gloom         ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
45 Vileplume     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
46 Paras         ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
47 Parasect      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
48 Venonat       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
49 Venomoth      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
50 Diglett       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
51 Dugtrio       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
52 Meowth        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      ,           ,       ,         , -, 12,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
53 Persian       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
54 Psyduck       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
55 Golduck       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
56 Mankey        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
57 Primeape      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
58 Growlithe     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Hisuian          ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
59 Arcanine      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Hisuian          ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
60 Poliwag       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
61 Poliwhirl     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
62 Poliwrath     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
63 Abra          ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
64 Kadabra       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
65 Alakazam      ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 13,     ,   
66 Machop        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
67 Machoke       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
68 Machamp       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        ,           ,       ,         , -, 13,     ,   
69 Bellsprout    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
70 Weepinbell    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
71 Victreebel    ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 13,     ,   
72 Tentacool     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
73 Tentacruel    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
74 Geodude       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
75 Graveler      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
76 Golem         ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
77 Ponyta        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
78 Rapidash      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
79 Slowpoke      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
80 Slowbro       ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 13,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
81 Magnemite     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
82 Magneton      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
83 Farfetch’d    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     ,         , -, 11,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
84 Doduo         ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     ,         , -, 11,     ,   
85 Dodrio        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     ,         , -, 11,     ,   
86 Seel          ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
87 Dewgong       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
88 Grimer        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
89 Muk           ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   ,        , -         , -     , -       , -,  6,     ,   
90 Shellder      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
91 Cloyster      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
92 Gastly        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
93 Haunter       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
94 Gengar        ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         , -, 14,     ,   
95 Onix          ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
96 Drowzee       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
97 Hypno         ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
98 Krabby        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
99 Kingler       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        ,           ,       ,         , -, 13,     ,   
100 Voltorb      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Hisuian          ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
101 Electrode    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Hisuian          ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
102 Exeggcute    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
103 Exeggutor    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
104 Cubone       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
105 Marowak      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Alolan           ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
106 Hitmonlee    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
107 Hitmonchan   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
108 Lickitung    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
109 Koffing      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
110 Weezing      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
111 Rhyhorn      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
112 Rhydon       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
113 Chansey      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
114 Tangela      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
115 Kangaskhan   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
116 Horsea       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
117 Seadra       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
118 Goldeen      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
119 Seaking      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
120 Staryu       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
121 Starmie      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
122 Mr. Mime     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
123 Scyther      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
124 Jynx         ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
125 Electabuzz   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
126 Magmar       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
127 Pinsir       ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
128 Tauros       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Paldean(Fight)   ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
Paldean(Water)   ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
Paldean(Fire)    ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
129 Magikarp     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
130 Gyarados     ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 13,     ,   
131 Lapras       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      ,           ,       ,         , -, 12,     ,   
132 Ditto        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
133 Eevee        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        ,           , -     , -       , -, 11,     ,   
134 Vaporeon     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -, 10,     ,   
135 Jolteon      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -, 10,     ,   
136 Flareon      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -, 10,     ,   
137 Porygon      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
138 Omanyte      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
139 Omastar      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
140 Kabuto       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -, 10,     ,   
141 Kabutops     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -, 10,     ,   
142 Aerodactyl   ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
143 Snorlax      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      ,           ,       ,         , -, 12,     ,   
144 Articuno     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
145 Zapdos       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
146 Moltres      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
147 Dratini      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
148 Dragonair    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
149 Dragonite    ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
150 Mewtwo       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Armored          ,        ,     ,       ,     , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  8,     ,   
151 Mew          ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
JOHTO            ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  , 99,     ,   
152 Chikorita    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
153 Bayleef      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
154 Meganium     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
155 Cyndaquil    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
156 Quilava      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
157 Typhlosion   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Hisuian          ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
158 Totodile     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
159 Croconaw     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
160 Feraligatr   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
161 Sentret      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
162 Furret       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
163 Hoothoot     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
164 Noctowl      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
165 Ledyba       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
166 Ledian       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
167 Spinarak     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
168 Ariados      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
169 Crobat       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
170 Chinchou     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
171 Lanturn      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
172 Pichu        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
173 Cleffa       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
174 Igglybuff    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
175 Togepi       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
176 Togetic      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
177 Natu         ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
178 Xatu         ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
179 Mareep       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
180 Flaaffy      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
181 Ampharos     ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
182 Bellossom    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
183 Marill       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
184 Azumarill    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
185 Sudowoodo    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
